"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.756050042E0,3.432812601E-2,4.040192127E-2,8.208438277E-2,9.771684283E-2
2.766103042E0,1.583016694E-2,3.031956732E-2,5.330365643E-2,6.333364143E-2
2.776155042E0,-5.774417818E-3,1.537232995E-3,3.020832404E-2,3.079366539E-2
2.786207042E0,-3.546628654E-3,4.180759192E-4,2.711251572E-2,2.734669762E-2
2.796259042E0,-3.069788218E-5,1.388713717E-3,1.058287561E-2,1.067364625E-2
2.806311042E0,2.765996128E-2,-5.779972672E-3,2.200745791E-3,2.834298545E-2
2.816363042E0,2.343271673E-2,-1.756094277E-2,8.093715906E-3,3.038070377E-2
2.826415042E0,5.010479093E-3,-2.607098043E-2,1.019622847E-2,2.843877628E-2
2.836467042E0,1.956478357E-3,-5.120582163E-2,1.616404295E-2,5.373211573E-2
2.846519042E0,9.713394642E-3,-4.714551508E-2,2.927993238E-2,5.634149508E-2
2.856571042E0,1.599242717E-2,-2.516173840E-2,2.287094548E-2,3.757593583E-2
2.866623042E0,6.178460419E-3,1.399823427E-3,-2.154552788E-3,6.691410650E-3
2.876675042E0,1.077729553E-2,3.237310946E-2,1.047601774E-2,3.569194955E-2
2.886728042E0,2.230391175E-2,6.647816420E-2,2.285559654E-2,7.375085821E-2
2.896780042E0,1.802024156E-2,8.243229210E-2,4.775947273E-2,9.695761508E-2
2.906832042E0,1.336790442E-2,6.808673322E-2,7.749022543E-2,1.040155717E-1
2.916884042E0,6.272600591E-3,3.273212850E-2,8.026648343E-2,8.691056389E-2
2.926936042E0,1.599008828E-2,1.718262792E-2,1.128774284E-1,1.152919748E-1
2.936988042E0,3.726401299E-2,3.958857358E-2,1.211315042E-1,1.327731265E-1
2.947040042E0,4.971273512E-2,3.343320966E-2,1.127056664E-1,1.276389548E-1
2.957092042E0,6.743769228E-2,2.530733407E-2,9.407175958E-2,1.184812198E-1
2.967144042E0,7.358253121E-2,5.440541804E-2,9.025805935E-2,1.285334808E-1
2.977196042E0,5.607479811E-2,4.871607721E-2,8.651116356E-2,1.140255260E-1
2.987248042E0,6.427610278E-2,1.972031951E-2,5.467906773E-2,8.666088413E-2
2.997300042E0,3.712309510E-2,-5.293484330E-3,4.380426988E-2,5.766245941E-2
3.007353042E0,4.529867202E-2,-2.966994166E-2,3.493667498E-2,6.444258207E-2
3.017405042E0,5.270153940E-2,-2.244687617E-2,4.382078826E-2,7.212195220E-2
3.027457042E0,7.199939758E-2,-3.781920612E-2,7.327716038E-2,1.094703057E-1
3.037509042E0,8.791581094E-2,-4.809744179E-2,1.030663852E-1,1.437540729E-1
3.047561042E0,1.029235670E-1,-4.507618546E-2,9.139534280E-2,1.448386406E-1
3.057613042E0,1.133684483E-1,-2.081199467E-2,9.669306636E-2,1.504496370E-1
3.067665042E0,7.289665282E-2,3.500143290E-3,8.967655376E-2,1.156203152E-1
3.077717042E0,4.374272794E-2,2.869696498E-2,4.486261591E-2,6.891731533E-2
3.087769042E0,8.893615007E-4,6.855860353E-2,3.614222467E-2,7.750698991E-2
